ISBN|Titre|Auteur|Editeur|Categorie|Synopsis|Parution|Prix|Image.URL.L
9780060013134|Going Postal|Terry Pratchett|HarperCollins|Fiction|Arch-swindler Moist Van Lipwig never believed his confidence crimes were hanging offenses -- until he found himself with a noose tightly around his neck, dropping through a trapdoor, and falling into ... a government job? By all rights, Moist should have met his maker. Instead, it's Lord Vetinari, supreme ruler of Ankh-Morpork, who promptly offers him a job as Postmaster. Since his only other option is a nonliving one, Moist accepts the position -- and the hulking golem watchdog who comes along with it, just in case Moist was considering abandoning his responsibilities prematurely. Getting the moribund Postal Service up and running again, however, may be a near-impossible task, what with literally mountains of decades-old undelivered mail clogging every nook and cranny of the broken-down post office building; and with only a few creaky old postmen and one rather unstable, pin-obsessed youth available to deliver it. Worse still, Moist could swear the mail is talking to him. Worst of all, it means taking on the gargantuan, money-hungry Grand Trunk clacks communication monopoly and its bloodthirsty piratical head, Mr. Reacher Gilt. But it says on the building neither rain nor snow nor glo m of ni t ... Inspiring words (admittedly, some of the bronze letters have been stolen), and for once in his wretched life Moist is going to fight. And if the bold and impossible are what's called for, he'll do it -- in order to move the mail, continue breathing, get the girl, and specially deliver that invaluable commodity that every human being (not to mention troll, dwarf, and, yes, even golem) requires: hope.|2004|78|http://images.amazon.com/images/P/0060013133.01.LZZZZZZZ.jpg
9780060085445|She Went All the Way|Meggin Cabot|Avon|Fiction|During an unfortunate helicopter ride into the wilds of Alaska, successful screenwriter Lou Calabrese is reunited with sexy Jack Townsend, but they are forced into a desperate battle for survival when they crash land in the wilderness.|2002|227|http://images.amazon.com/images/P/0060085444.01.LZZZZZZZ.jpg
9780060085490|Island|Aldous Huxley|Perennial|Fiction|A shipwrecked journalist discovers the beauty and serentity promoted by science on the island of Pala.|1962|169|http://images.amazon.com/images/P/0060085495.01.LZZZZZZZ.jpg
9780060090371|Lucy Sullivan Is Getting Married|Marian Keyes|Perennial|Fiction|What happens when a psychic tells Lucy that she'll be getting married within the year? Her roommates panic! What is going to happen to their blissful existence of eating take-out, drinking too much wine, bringing men home, and never vacuuming? Lucy reassures her friends that she's far too busy arguing with her mother and taking care of her irresponsible father to get married. And then there's the small matter of not even having a boyfriend. But then Lucy meets gorgeous, unreliable Gus. Could he be the future Mr. Lucy Sullivan? Or could it be handsome Chuck? Or Daniel, the world's biggest flirt? Or even cute Jed, the new guy at work? Maybe her friends have something to worry about after all....|2002|227|http://images.amazon.com/images/P/0060090375.01.LZZZZZZZ.jpg
9780060092573|The Terminal Man|Michael Crichton|Avon Books|Fiction|A team of surgeons perform an operation on a violent paranoid in an attempt to electronically control his behavior.|2002|161|http://images.amazon.com/images/P/0060092572.01.LZZZZZZZ.jpg
9780060093747|The Art of the Novel|Milan Kundera|Perennial Classics|Literary Criticism|Kundera brilliantly examines the work of such important and diverse figures as Rabelais, Cervantes, Sterne, Diderot, Flaubert, Tolstoy, and Musil. He is especially penetrating on Hermann Broch, and his exploration of the world of Kafka's novels vividly reveals the comic terror of Kafka's bureaucratized universe. Kundera's discussion of his own work includes his views on the role of historical events in fiction, the meaning of action, and the creation of character in the post-psychological novel.|2003|164|http://images.amazon.com/images/P/0060093749.01.LZZZZZZZ.jpg
9780060094935|The Bromeliad Trilogy|Terry Pratchett|HarperCollins|Juvenile Fiction|In a world whose seasons are defined by Christmas sales and Spring Fashions, hundreds of tiny nomes live in the corners and crannies of a human-run department store. They have made their homes beneath the floorboards for generations and no longer remember -- or even believe in -- life beyond the Store walls. Until the day a small band of nomes arrives at the Store from the Outside. Led by a young nome named Masklin, the Outsiders carry a mysterious black box (called the Thing), and they deliver devastating news: In twenty-one days, the Store will be destroyed. Now all the nomes must learn to work together, and they must learn to think -- and to think BIG. Part satire, part parable, and part adventure story par excellence, master storyteller Terry Pratchett’s engaging trilogy traces the nomes’ flight and search for safety, a search that leads them to discover their own astonishing origins and takes them beyond their wildest dreams.|2003|20|http://images.amazon.com/images/P/0060094931.01.LZZZZZZZ.jpg
9780060099459|Merry Christmas, Amelia Bedelia|Peggy Parish|HarperTrophy|Juvenile Fiction|It's Christmas Eve, and Amelia Bedelia has to get the Rogers house ready for a visit from Aunt Myra. But with Amelia Bedelia in charge, this Christmas will be one of the funniest ever!|2002|83|http://images.amazon.com/images/P/0060099453.01.LZZZZZZZ.jpg
9780060175641|Identity|Milan Kundera|Harpercollins|Fiction|Milan Kundera's Identity translated from the French by Linda Asher. There are situations in which we fail for a moment to recognize the person we are with, in which the identity of the other is erased while we simultaneously doubt our own. That also happens with couples -- indeed, above all with couples, because lovers fear more than anything else "losing sight" of the loved one. With stunning artfulness in expanding and playing variations on the meaningful moment, Milan Kundera has made this situation -- and the vague sense of panic it inspires -- the very fabric of his new novel. Here brevity goes hand in hand with intensity, and a moment of bewilderment marks the start of a labyrinthine journey during which the reader repeatedly crosses the border between the real and the unreal, between what occurs in the world outside and what the mind creates in its solitude. Of all contemporary writers, only Kundera can transform such a hidden and disconcerting perception into the material for a novel, one of his finest, most painful, and most enlightening. Which, surprisingly, turns out to be a love story.|1998|106|http://images.amazon.com/images/P/0060175648.01.LZZZZZZZ.jpg
9780060177249|The thief of always|Clive Barker|Harpercollins|Fiction|After a mysterious stranger promises to end his boredom with a trip to the magical Holiday House, ten-year-old Harvey learns that his fun has a high price|1992|31|http://images.amazon.com/images/P/0060177241.01.LZZZZZZZ.jpg
9780060192501|The Illustrated Alchemist|Paulo Coelho|HarperCollins Publishers|Fiction|This fable aims teaches the reader to open their mind, listen to their heart and most importantly, follow their dreams.|1998|275|http://images.amazon.com/images/P/006019250X.01.LZZZZZZZ.jpg
9780060192778|Mars and Venus Book of Days|John Gray|HarperCollins Publishers|Family & Relationships|Provides daily reminders of the differences in behavior and communication styles of men and women|1998|209|http://images.amazon.com/images/P/0060192771.01.LZZZZZZZ.jpg
9780060245603|Today I Feel Silly & Other Moods That Make My Day|Jamie Lee Curtis|Joanna Cotler|Juvenile Fiction|Today I feel silly. Mom says it's the heat. I put rouge on the cat and gloves on my feet. I ate noodles for breakfast and pancakes at night. I dressed like a star and was quite a sight. Today I am sad, my mood's heavy and gray. There's a frown on my face and it's been there all day. My best friend and I had a really big fight. She said that I tattled and I know that she's right. Silly, cranky, excited, or sad--everyone has moods that can change each day. Jamie Lee Curtis's zany and touching verse, paired with Laura Cornell's whimsical and original illustrations, helps kids explore, identify, and, even have fun with their ever-changing moods. Here's another inspired picture book from the bestselling author-illustrator team of Tell Me Again About the Night I Was Born and When I Was Little: A Four-Year-Old's Memoir of Her Youth.|1998|29|http://images.amazon.com/images/P/0060245603.01.LZZZZZZZ.jpg
9780060256579|The Missing Piece Meets the Big O|Shel Silverstein|HarperCollins|Juvenile Fiction|The missing piece sat alone waiting for someone to come along and take it somewhere.... The different ones it encounters - and what it discovers in its helplessness - are portrayed with simplicity and compassion in the words and drawings of Shel Silverstein.|1981|139|http://images.amazon.com/images/P/0060256575.01.LZZZZZZZ.jpg
9780060256753|Lafcadio, the Lion Who Shot Back|Shel Silverstein|HarperCollins|Juvenile Fiction|"You don't have to shoot me," says the young lion. "I will be your rug and I will lie in front of your fireplace and I won't move a muscle and you can sit on me and toast all the marshmallows you want. I love marshmallows." But the hunter will not listen to reason, so what is there for a young lion to do? After eating up the hunter, Lafcadio takes the gun home and practices and practices until he becomes the world's greatest sharp-shooter. Now dressed in starched collars and fancy suits, and enjoying all the marshmallows he wants, Lafcadio is pampered and admired wherever he goes. But is a famous, successful, and admired lion a happy lion? Or is he a lion at all? Told and drawn with wit and gusto, Shel Silverstein's modern fable speaks not only to children but to us all!|1963|117|http://images.amazon.com/images/P/0060256753.01.LZZZZZZZ.jpg
9780060391539|Quivers|Robin Quivers|Harpercollins|African Americans in radio broadcasting|The outspoken co-host of The Howard Stern Show reveals her disturbing background as a sexually abused child of poverty and describes her ongoing struggle for recovery and her friendship with Stern. 200,000 first printing. $150,000 ad/promo. Tour.|1995|44|http://images.amazon.com/images/P/0060391537.01.LZZZZZZZ.jpg
9780060504083|Small Wonder|Barbara Kingsolver|Perennial|Literary Collections|In her new essay collection, the beloved author of High Tide in Tucson brings to us, out of one of history's darker moments, an extended love song to the world we still have. Whether she is contemplating the Grand Canyon, her vegetable garden, motherhood, genetic engineering, or the future of a nation founded on the best of all human impulses, these essays are grounded in the author's belief that our largest problems have grown from the earth's remotest corners as well as our own backyards, and that answers may lie in both those places. Sometimes grave, occasionally hilarious, and ultimately persuasive, Small Wonder is a hopeful examination of the people we seem to be, and what we might yet make of ourselves.|2003|128|http://images.amazon.com/images/P/0060504080.01.LZZZZZZZ.jpg
9780060506049|Worlds Enough & Time|Dan Simmons|Eos|Fiction|An extraordinary artist with few rivals in his chosen arena, Dan Simmons possesses a restless talent that continually presses boundaries while tantalizing the mind and touching the soul. Now he offers us a superb quintet of novellas -- five dazzling masterworks of speculative fiction, including "Orphans of the Helix," his award-winning return to the Hyperion Universe -- that demonstrates the unique mastery, breathtaking invention, and flawless craftsmanship of one of contemporary fiction's true greats. Human colonists seeking something other than godhood encounter their long-lost "cousins"...and an ancient scourge. A devastated man in suicide's embrace is caught up in a bizarre cat-and-mouse game with a young woman possessing a world-ending power. The distant descendants of a once-oppressed people learn a chilling lesson about the persistence of the past. A terrifying ascent up the frigid, snow-swept slopes of K2 shatters preconceptions and reveals the true natures of four climbers, one of whom is not human. At the intersection of a grand past and a threadbare present, an aging American in Russia confronts his own mortality as he glimpses a wondrous future.|2002|99|http://images.amazon.com/images/P/0060506040.01.LZZZZZZZ.jpg
9780060507404|The Cheese Monkeys|Chip Kidd|Perennial|Fiction|After 15 years of designing more than 1,500 book jackets at Knopf for such authors as Anne Rice and Michael Chrichton, Kidd has crafted an affecting an entertaining novel set at a state university in the late 1950s that is both slap-happily funny and heartbreakingly sad. The Cheese Monkeys is a college novel that takes place over a tightly written two semesters. The book is set in the late 1950s at State U, where the young narrator, has decided to major in art, much to his parents’ dismay. It is an autobiographical, coming-of-age novel which tells universally appealing stories of maturity, finding a calling in life, and being inspired by a loving, demanding, and highly eccentric teacher.|2002|131|http://images.amazon.com/images/P/0060507403.01.LZZZZZZZ.jpg
9780060509057|Travels|Michael Crichton|Perennial|Biography & Autobiography|Often I feel I go to some distant region of the world to be reminded of who I really am. When Michael Crichton -- a Harvard-trained physician, bestselling novelist, and successful movie director -- began to feel isolated in his own life, he decided to widen his horizons. He tracked wild animals in the jungles of Rwanda. He climbed Kilimanjaro and Mayan pyramids. He trekked across a landslide in Pakistan. He swam amid sharks in Tahiti. Fueled by a powerful curiosity and the need to see, feel, and hear firsthand and close-up, Michael Crichton has experienced adventures as compelling as those he created in his books and films. These adventures -- both physical and spiritual -- are recorded here in Travels, Crichton's most astonishing and personal work.|2002|205|http://images.amazon.com/images/P/0060509058.01.LZZZZZZZ.jpg
9780060510855|Caesar|Colleen McCullough|Avon Books|Fiction|A fictional portrait of Julius Caesar follows the legendary ancient Roman military and political leader from his remarkable conquest of Gaul, to his momentous decision at the Rubicon River, to his personal triumphs, tragedies, dreams, and disappointments. Reprint.|2003|57|http://images.amazon.com/images/P/0060510854.01.LZZZZZZZ.jpg
9780060510862|The Forever War|Joe Haldeman|Eos|Fiction|Drafted into the ranks of Earth's interstellar warriors, private William Mandella finds his fight against the Taurans secondary to the side-effects of faster-than-light space travel, which affects the rate at which he ages. Winner of the Hugo and Nebula Awards. Reprint. 25,000 first printing.|2003|190|http://images.amazon.com/images/P/0060510862.01.LZZZZZZZ.jpg
9780060511067|Amelia Bedelia Goes Camping|Peggy Parish|HarperTrophy|Juvenile Fiction|Camp Out Amelia Bedelia has never been camping in the great outdoors before. She's trying her best to do exactly as she's told, but pitching a tent is not the same as throwing it into the bushes, and catching a fish with your bare hands isn't easy. As usual, the mixed-up housekeeper makes this camping trip one hugely entertaining adventure.|2003|248|http://images.amazon.com/images/P/0060511060.01.LZZZZZZZ.jpg
9780060512804|Cryptonomicon|Neal Stephenson|Avon Books|Fiction|With this extraordinary first volume in what promises to be an epoch-making masterpiece, Neal Stephenson hacks into the secret histories of nations and the private obsessions of men, decrypting with dazzling virtuosity the forces that shaped this century. In 1942, Lawrence Pritchard Waterhouse - mathematical genius and young Captain in the U.S. Navy - is assigned to detachment 2702. It is an outfit so secret that only a handful of people know it exists, and some of those people have names like Churchill and Roosevelt. The mission of Watrehouse and Detatchment 2702-commanded by Marine Raider Bobby Shaftoe-is to keep the Nazis ignorant of the fact that Allied Intelligence has cracked the enemy's fabled Enigma code. It is a game, a cryptographic chess match between Waterhouse and his German counterpart, translated into action by the gung-ho Shaftoe and his forces. Fast-forward to the present, where Waterhouse's crypto-hacker grandson, Randy, is attempting to create a "data haven" in Southeast Asia - a place where encrypted data can be stored and exchanged free of repression and scrutiny. As governments and multinationals attack the endeavor, Randy joins forces with Shaftoe's tough-as-nails grandaughter, Amy, to secretly salvage a sunken Nazi sumarine that holds the key to keeping the dream of a data haven afloat. But soon their scheme brings to light a massive conspiracy with its roots in Detachment 2702 linked to an unbreakable Nazi code called Arethusa. And it will represent the path to unimaginable riches and a future of personal and digital liberty...or to universal totalitarianism reborn. A breathtaking tour de force, and Neal Stephenson's most accomplished and affecting work to date, CRYPTONOMICON is profound and prophetic, hypnotic and hyper-driven, as it leaps forward and back between World War II and the World Wide Web, hinting all the while at a dark day-after-tomorrow. It is a work of great art, thought, and creative daring; the product of a truly icon|2002|141|http://images.amazon.com/images/P/0060512806.01.LZZZZZZZ.jpg
9780060513092|Falling Up|Shel Silverstein|Harpercollins Childrens Books|Juvenile Nonfiction|A collection of humorous poems and drawings. Copyright © Libri GmbH. All rights reserved.|2002|133|http://images.amazon.com/images/P/0060513098.01.LZZZZZZZ.jpg
9780060516055|What Went Wrong?|Bernard Lewis|Perennial|History|For centuries, the world of Islam was in the forefront of human achievement -- the foremost military and economic power in the world, the leader in the arts and sciences of civilization. Christian Europe was seen as an outer darkness of barbarism and unbelief from which there was nothing to learn or to fear. And then everything changed. The West won victory after victory, first on the battlefield and then in the marketplace. In this elegantly written volume, Bernard Lewis, a renowned authority an Islamic affairs, examines the anguished reaction of the Islamic world as it tried to make sense of how it had been overtaken, overshadowed, and dominated by the West. In a fascinating portrait of a culture in turmoil, Lewis shows how the Middle East turned its attention to understanding European weaponry, industry, government, education, and culture. He also describes how some Middle Easterners fastened blame on a series of scapegoats, while others asked not "Who did this to us?" but rather "Where did we go wrong?" With a new Afterword that addresses September 11 and its aftermath, What Went Wrong? is an urgent, accessible book that no one who is concerned with contemporary affairs will want to miss.|2003|65|http://images.amazon.com/images/P/0060516054.01.LZZZZZZZ.jpg
9780060519131|Savannah Blues|Mary Kay Andrews|Perennial|Fiction|Landing a catch like Talmadge Evans III got Eloise "Weezie" Foley a jewel of a town house in Savannah's historic district. Divorcing Tal got her exiled to the backyard carriage house, where she has launched a spite-fest with Tal's new fiancÉe, the elegant Caroline DeSantos. An antiques picker, Weezie combs Savannah's steamy back alleys and garage sales for treasures when she's not dealing with her loopy relatives or her hunky ex-boyfriend. But an unauthorized sneak preview at a sale lands Weezie smack in the middle of magnolia-scented murder, mayhem...and more. Dirty deals simmer all around her—just as her relationship with the cutest chef in town heats up and she finds out how delicious love can be the second time around.|2003|225|http://images.amazon.com/images/P/0060519134.01.LZZZZZZZ.jpg
9780060521226|The Whipping Boy|Sid Fleischman|HarperTrophy|Juvenile Fiction|A Prince and a Pauper Jemmy, once a poor boy living on the streets, now lives in a castle. As the whipping boy, he bears the punishment when Prince Brat misbehaves, for it is forbidden to spank, thrash, or whack the heir to the throne. The two boys have nothing in common and even less reason to like one another. But when they find themselves taken hostage after running away, they are left with no choice but to trust each other.|2003|300|http://images.amazon.com/images/P/0060521228.01.LZZZZZZZ.jpg
9780060524937|A Nose for Murder|Lee Charles Kelley|Avon|Fiction|Former cop-turned-dog trainer Jack Field is called in when the body of Allison DeMarco is found on her kitchen floor, accompanied by her high-strung Airedale, Ginger, and must enlist his special skills to find out what happened since Ginger appears to be the only witness to the crime. Original.|2003|79|http://images.amazon.com/images/P/0060524936.01.LZZZZZZZ.jpg
9780060525101|Happiness|Will Ferguson|Perennial|Fiction|Why would there be a contract out on Edwin de Valu's life? Edwin -- the wiry low-level editor at Panderic Press. Why has rage disappeared from the roads and McDonald's gone alfalfa? How come everyone seems so damn happy? And most importantly, who, or what, is Tupak Soiree? When an enormous self-help manuscript lands on Edwin's desk, it's headed for the trash. Edwin's cynicism of self-help books, coupled with his filthy mood that morning, results in him dismissing Tupak Soiree's What I Learned on the Mountain and using it as a doorstop. However, Tupak's manuscript is unique -- a self-help book that actually works. Before Edwin knows it, a chain of events begins that affects not only his own life but the world at large. For those who choke on Chicken Soup for the Soul or have choice words for Dr. Phil, Will Ferguson offers up a killer dose of Happiness™ -- a masterpiece of comic fiction.|2003|95|http://images.amazon.com/images/P/006052510X.01.LZZZZZZZ.jpg
9780060527983|Warrior of the Light|Paulo Coelho|Perennial|Fiction|Warrior of the Light: A Manual is an inspirational companion to The Alchemist, an international bestseller that has beguiled millions of readers around the world. Every short passage invites us to live out our dreams, to embrace the uncertainty of life, and to rise to our own unique destiny. In his inimitable style, Paulo Coelho helps bring out the Warrior of the Light within each of us. He also shows readers how to embark upon the way of the Warrior: the one who appreciates the miracle of being alive, the one who accepts failure, and the one whose quest leads him to become the person he wants to be. Paulo Coelho is one of the most beloved storytellers of our time. Now, in the long-awaited companion to his first novel, Coelho presents a collection of philosophical stories that will delight and guide seekers everywhere.|2004|298|http://images.amazon.com/images/P/0060527986.01.LZZZZZZZ.jpg
9780060531041|One Hundred Years of Solitude|Gabriel Garcia Marquez|HarperCollins|Fiction|One of the 20th century's enduring works, One Hundred Years of Solitude is a widely beloved and acclaimed novel known throughout the world, and the ultimate achievement in a Nobel Prize–winning career. The novel tells the story of the rise and fall of the mythical town of Macondo through the history of the Buendía family. It is a rich and brilliant chronicle of life and death, and the tragicomedy of humankind. In the noble, ridiculous, beautiful, and tawdry story of the Buendía family, one sees all of humanity, just as in the history, myths, growth, and decay of Macondo, one sees all of Latin America. Love and lust, war and revolution, riches and poverty, youth and senility -- the variety of life, the endlessness of death, the search for peace and truth -- these universal themes dominate the novel. Whether he is describing an affair of passion or the voracity of capitalism and the corruption of government, Gabriel García Márquez always writes with the simplicity, ease, and purity that are the mark of a master. Alternately reverential and comical, One Hundred Years of Solitude weaves the political, personal, and spiritual to bring a new consciousness to storytelling. Translated into dozens of languages, this stunning work is no less than an accounting of the history of the human race.|2003|271|http://images.amazon.com/images/P/0060531045.01.LZZZZZZZ.jpg
9780060539092|How to Make Love Like a Porn Star|Jenna Jameson|Regan Books|Biography & Autobiography|When the stewardess brought me off the plane in a wheelchair, I lowered my head. I was too scared to even look at my father. I didn't want to see the disappointment and horror on his face. All that hate I had accumulated for him over the years, all the resentment against him for not understanding what I was going through, just released with the tears. "So, where are your parents?" the stewardess asked me after a few minutes. "I can't wait here with you much longer." I looked up and wiped my eyes. My father was standing ten feet away. He didn't even recognize me. In the underbelly of Las Vegas, a cesspool of warring biker gangs and seedy strip clubs transformed the gawky, brace-faced Jenna Massoli into the bombshell Jenna Jameson. Today, Jenna Jameson is the biggest star in the history of adult movies, consistently ranked as one of the most beautiful women alive. But behind the glamour and the meteoric rise to fame was a path paved with tragedy and heartbreak. As a teenager drawn into a chaotic world ruled by rape, abuse, and murder, Jenna plunged into a downward spiral of addiction, even as she became one of the most photographed women in adult magazines. Determined to overcome this past, Jenna rebounded in the adult-film business, where she encountered sadistic directors, experienced lovers of both sexes, amorous celebrities (from Howard Stern to Marilyn Manson to Tommy Lee), bitter rival starlets, and finally, glory, as she went on to become the biggest porn star the world has ever seen. But her struggle for happiness did not end when the accolades began. For years she wrestled with her resentment at her estranged father, the loneliness of growing up from the age of two without a mother, and her enduring childhood desire to find a man who could give her the security and love she never had. Her unforgettable memoir is many things at once: a shocking sexual history, an insider's guide to the secret workings of the billion-dollar adult-film industry, and a gripping thriller that probes deep into Jenna's dark past. An unparalleled exploration of sexual freedom, How to Make Love Like a Porn Star ventures far beyond the flesh, into the heart-shredding tragedies and adrenaline-pumping triumphs of a woman who has already lived a hundred lifetimes. Always witty and humorous even as she faces the demons of her past, Jenna offers hilarious anecdotes about one of the most controversial businesses in history, and shares outrageous advice, including her ten commandments of dating and sex, how to become a "suitcase pimp," and how to make it in the business as a female (or a male). Add to this never-before-seen photographs from Jenna's private collection and others taken exclusively for this book, and the result is certain to be one of the most talked-about books of the year.|2004|277|http://images.amazon.com/images/P/0060539097.01.LZZZZZZZ.jpg
9780060539252|The Outsider|Richard A. Wright|Perennial|Fiction|Cross Damon, trapped within his own blackness, flees from Chicago's South Side to Harlem, where he joins the Communist Party.|1953|249|http://images.amazon.com/images/P/0060539259.01.LZZZZZZZ.jpg
9780060540944|1421|Gavin Menzies|Perennial|History|Based on 15 years of in-depth research, "1421" traces the voyages of an extraordinary fleet of Chinese ships, whose crews actually charted America 70 years before Columbus. Four 8-page color inserts. 37 maps & diagrams.|2004|156|http://images.amazon.com/images/P/006054094X.01.LZZZZZZZ.jpg
9780060541811|The Andromeda Strain|Michael Crichton|Avon Books|Fiction|A team of scientists struggles to define and contain a deadly bacteria brought back from outer space by a satellite.|2003|40|http://images.amazon.com/images/P/0060541814.01.LZZZZZZZ.jpg
9780060541835|Congo|Michael Crichton|Avon Books|Fiction|Armed with the latest gifts of advanced technology, a California scientist, a ruthless corporation agent, and a mercenary hunter face the dangers of the Congo jungle in search of the diamonds of the lost city of Zinj. Reprint.|2003|168|http://images.amazon.com/images/P/0060541830.01.LZZZZZZZ.jpg
9780060548285|The Wicked Day|Mary Stewart|Eos (Trade)|Fiction|Born of an incestuous relationship between King Arthur and his half sister, the evil sorceress Morgause, the bastard Mordred is reared in secrecy. Called to Camelot by events he cannot deny, Mordred becomes Arthur’s most trusted counselor -- a fateful act that leads to the "wicked day of destiny" when father and son must face each other in battle.|2003|126|http://images.amazon.com/images/P/0060548282.01.LZZZZZZZ.jpg
9780060566685|Fluke|Christopher Moore|Perennial|Fiction|Just why do humpback whales sing? That's the question that has marine behavioral biologist Nate Quinn and his crew poking, charting, recording, and photographing very big, wet, gray marine mammals. Until the extraordinary day when a whale lifts its tail into the air to display a cryptic message spelled out in foot-high letters: Bite me. Trouble is, Nate's beginning to wonder if he hasn't spent just a little too much time in the sun. 'Cause no one else on his team saw a thing -- not his longtime partner, Clay Demodocus; not their saucy young research assistant; not even the spliff-puffing white-boy Rastaman Kona (né Preston Applebaum). But later, when a roll of film returns from the lab missing the crucial tail shot -- and his research facility is trashed -- Nate realizes something very fishy indeed is going on. By turns witty, irreverent, fascinating, puzzling, and surprising, Fluke is Christopher Moore at his outrageous best.|2004|113|http://images.amazon.com/images/P/006056668X.01.LZZZZZZZ.jpg
9780060567231|Lord of Light|Roger Zelazny|Eos|Fiction|Earth is long since dead. On a colony planet, a band of men has gained control of technology, made themselves immortal, and now rules their world as the gods of the Hindu pantheon. Only one dares oppose them: he who was once Siddhartha and is now Mahasamatman. Binder of Demons. Lord of Light.|2004|135|http://images.amazon.com/images/P/0060567236.01.LZZZZZZZ.jpg
9780060572969|Dead Witch Walking|Kim Harrison|HarperTorch|Fiction|All the creatures of the night gather in "the Hollows" of Cincinnati, to hide, to prowl, to party ... and to feed. Vampires rule the darkness in a predator-eat-predator world rife with dangers beyond imagining -- and it’s Rachel Morgan's job to keep that world civilized. A bounty hunter and witch with serious sex appeal and an attitude, she'll bring 'em back alive, dead ... or undead.|2004|167|http://images.amazon.com/images/P/0060572965.01.LZZZZZZZ.jpg
